filename,year,inhabitants,heating:demand[kWh]_mean,heating:demand[kWh]_std,heating:load_max[kW]_mean,heating:load_max[kW]_std,cooling:demand[kWh]_mean,cooling:demand[kWh]_std,cooling:load_max[kW]_mean,cooling:load_max[kW]_std,resistance[K W-1]_mean,resistance[K W-1]_std,capacitance[J K-1]_mean,capacitance[J K-1]_std
G3500090_mixed_dry.csv,1918,7,54339.89,,54.92,,8748.64,,30.33,,0.0,,295185547.96,
G3500090_mixed_dry.csv,1919,1,67687.87,69008.36,70.18,103.39,19978.31,64468.81,24.16,28.99,0.0,0.0,124338130.11,89291279.8
G3500090_mixed_dry.csv,1919,2,292543.93,1016455.42,121.49,251.85,240879.33,1018509.23,132.8,344.15,0.0,0.0,133744752.03,84778864.05
G3500090_mixed_dry.csv,1919,3,178825.37,329084.56,92.32,96.94,139425.53,328911.3,42.0,64.95,0.0,0.0,75729335.94,42625460.15
G3500090_mixed_dry.csv,1919,4,364430.43,562644.51,116.88,145.16,294583.52,568700.82,133.57,212.45,0.0,0.0,162915299.33,232136907.01
G3500090_mixed_dry.csv,1919,5,43547.45,16035.53,25.25,11.27,2587.27,1526.46,10.81,5.42,0.0,0.0,93984653.02,58465009.5
G3500090_mixed_dry.csv,1919,6,12832.71,,12.76,,2164.08,,7.05,,0.0,,51034622.09,
G3500090_mixed_dry.csv,1919,7,42597.4,,42.61,,7053.09,,23.53,,0.0,,190356257.1,
G3500090_mixed_dry.csv,1949,1,84454.21,80470.07,82.45,112.94,23214.84,72388.7,27.86,28.64,0.0,0.0,134839765.61,92965311.98
G3500090_mixed_dry.csv,1949,2,323109.85,1076619.19,137.07,268.49,256912.93,1078708.47,141.8,360.32,0.0,0.0,145877797.17,87732369.79
G3500090_mixed_dry.csv,1949,3,207758.74,370884.0,106.57,109.64,158037.36,370856.71,47.96,72.29,0.0,0.0,83764460.66,43727013.43
G3500090_mixed_dry.csv,1949,4,424033.28,636454.55,136.77,167.84,333822.66,641535.17,152.32,238.59,0.0,0.0,178168028.25,244404248.52
G3500090_mixed_dry.csv,1949,5,55481.89,22209.35,32.17,15.41,3443.67,2139.6,13.79,7.36,0.0,0.0,102529422.24,59704699.94
G3500090_mixed_dry.csv,1949,6,15923.74,,15.76,,2724.08,,8.7,,0.0,,57716946.52,
G3500090_mixed_dry.csv,1949,7,54094.6,,53.79,,9121.37,,29.71,,0.0,,215280949.67,
G3500090_mixed_dry.csv,1958,1,89707.27,95284.24,91.26,132.12,27484.7,89676.64,31.28,35.16,0.0,0.0,158047769.15,104236641.65
G3500090_mixed_dry.csv,1958,2,360191.39,1233224.44,152.42,307.07,292863.17,1235512.8,164.41,415.06,0.0,0.0,172022150.98,97697597.95
G3500090_mixed_dry.csv,1958,3,243411.9,455846.88,124.53,134.3,192815.92,456095.18,58.08,91.01,0.0,0.0,100211530.66,48192840.59
G3500090_mixed_dry.csv,1958,4,499147.91,779024.71,155.03,193.19,407426.81,787726.26,184.77,295.08,0.0,0.0,210682402.93,277400995.69
G3500090_mixed_dry.csv,1958,5,56310.49,22375.97,32.71,15.56,3358.06,2124.11,14.02,7.43,0.0,0.0,120927839.52,65428532.21
G3500090_mixed_dry.csv,1958,6,16069.58,,16.06,,2667.39,,8.87,,0.0,,70588566.52,
G3500090_mixed_dry.csv,1958,7,54690.5,,54.92,,8958.34,,30.33,,0.0,,263291365.05,
G3500090_mixed_dry.csv,1969,1,93201.81,139523.73,113.26,197.41,38423.88,137143.53,41.64,62.39,0.0,0.0,235638458.25,156581160.58
G3500090_mixed_dry.csv,1969,2,490637.56,1854349.12,200.17,460.65,432884.77,1853889.29,247.47,633.0,0.0,0.0,256215043.4,146931089.11
G3500090_mixed_dry.csv,1969,3,325178.29,681928.98,166.42,198.54,285089.65,684763.94,85.27,144.97,0.0,0.0,148902786.36,72610684.42
G3500090_mixed_dry.csv,1969,4,683410.33,1162008.35,197.23,271.68,601804.27,1178105.5,272.18,449.96,0.0,0.0,313652431.99,415843345.87
G3500090_mixed_dry.csv,1969,5,47312.73,31381.21,28.1,20.96,2537.68,2295.59,12.14,9.65,0.0,0.0,180107919.97,98680381.78
G3500090_mixed_dry.csv,1969,6,10365.38,,10.86,,1528.92,,6.0,,0.0,,104510791.98,
G3500090_mixed_dry.csv,1969,7,33619.03,,35.51,,4858.93,,19.61,,0.0,,389819349.52,
G3500090_mixed_dry.csv,1979,1,48252.37,52297.35,54.63,88.5,15111.26,50086.21,19.37,28.14,0.0,0.0,106816616.13,83953599.34
G3500090_mixed_dry.csv,1979,2,252145.06,919292.56,101.24,226.11,216225.72,921065.32,117.75,315.34,0.0,0.0,113356292.57,80728443.7
G3500090_mixed_dry.csv,1979,3,135701.79,255251.54,71.04,74.88,107636.06,254861.87,32.19,50.74,0.0,0.0,62039102.0,41285520.2
G3500090_mixed_dry.csv,1979,4,275418.91,435486.23,89.9,113.69,227476.12,440698.77,102.55,165.23,0.0,0.0,137208134.84,212984198.22
G3500090_mixed_dry.csv,1979,5,30643.17,9956.84,17.77,7.13,1734.37,944.81,7.6,3.47,0.0,0.0,79622946.23,57089722.47
G3500090_mixed_dry.csv,1979,6,9401.04,,9.37,,1571.57,,5.18,,0.0,,39474484.74,
G3500090_mixed_dry.csv,1979,7,29814.43,,29.98,,4865.73,,16.56,,0.0,,147237597.88,
G3500090_mixed_dry.csv,1984,1,42473.8,38332.02,45.73,70.94,10893.27,33342.22,16.03,21.92,0.0,0.0,84012586.26,73158394.09
G3500090_mixed_dry.csv,1984,2,214554.82,765690.58,85.57,188.96,180656.33,766820.09,95.56,261.25,0.0,0.0,87670564.92,71275275.88
G3500090_mixed_dry.csv,1984,3,99511.09,171963.73,52.71,50.87,73593.15,171660.53,22.4,32.86,0.0,0.0,45885253.96,37041095.79
G3500090_mixed_dry.csv,1984,4,200978.45,295874.7,71.17,91.68,155263.12,297790.91,71.15,110.35,0.0,0.0,105266041.86,180637868.89
G3500090_mixed_dry.csv,1984,5,28893.47,11463.63,16.78,8.07,1743.9,989.57,7.19,3.85,0.0,0.0,61547350.76,51573286.97
G3500090_mixed_dry.csv,1984,6,8482.94,,8.34,,1481.71,,4.6,,0.0,,26836950.58,
G3500090_mixed_dry.csv,1984,7,26318.15,,26.11,,4469.28,,14.42,,0.0,,100100309.47,
G3500090_mixed_dry.csv,1995,1,39559.79,74080.86,57.5,115.72,20005.45,74576.24,22.24,42.38,0.0,0.0,139881899.74,101620986.79
G3500090_mixed_dry.csv,1995,2,289458.73,1156597.49,113.13,283.07,268331.0,1157854.97,151.5,403.32,0.0,0.0,150213683.22,96648068.36
G3500090_mixed_dry.csv,1995,3,170998.05,372205.36,89.03,108.06,153823.86,371872.62,45.07,79.23,0.01,0.0,84705299.76,48707401.62
G3500090_mixed_dry.csv,1995,4,353018.06,634820.5,102.2,140.78,325405.53,640089.02,144.27,246.01,0.0,0.0,182834355.32,263358810.04
G3500090_mixed_dry.csv,1995,5,18403.14,5153.68,10.75,3.82,850.3,482.97,4.59,1.89,0.0,0.0,105552047.23,66885698.82
G3500090_mixed_dry.csv,1995,6,5708.46,,5.97,,843.82,,3.3,,0.01,,56703831.56,
G3500090_mixed_dry.csv,1995,7,16257.12,,15.7,,2314.58,,9.55,,0.0,,211502088.09,
G3500090_mixed_dry.csv,2002,1,34906.12,76257.08,55.43,117.81,20193.49,76815.73,21.91,44.53,0.01,0.0,142214881.71,102743556.91
G3500090_mixed_dry.csv,2002,2,287088.46,1173351.57,111.0,287.01,271345.23,1174212.03,154.01,410.56,0.01,0.0,152841841.48,97636842.71
G3500090_mixed_dry.csv,2002,3,170238.7,381782.55,88.55,110.65,157266.66,381525.99,45.92,82.38,0.01,0.0,86358639.64,49150487.73
G3500090_mixed_dry.csv,2002,4,353088.64,651789.86,99.66,141.54,332681.54,656157.06,147.15,253.54,0.01,0.0,186102859.21,266672228.08
G3500090_mixed_dry.csv,2002,5,13934.68,4142.81,8.19,3.1,597.76,355.71,3.5,1.52,0.01,0.0,107401546.08,67456324.61
G3500090_mixed_dry.csv,2002,6,4244.42,,4.11,,601.68,,2.5,,0.01,,57997749.72,
G3500090_mixed_dry.csv,2002,7,10856.63,,10.81,,1493.38,,6.58,,0.0,,216328329.76,
G3500090_mixed_dry.csv,2009,1,34906.12,76257.08,55.43,117.81,20193.49,76815.73,21.91,44.53,0.01,0.0,142214881.71,102743556.91
G3500090_mixed_dry.csv,2009,2,287088.46,1173351.57,111.0,287.01,271345.23,1174212.03,154.01,410.56,0.01,0.0,152841841.48,97636842.71
G3500090_mixed_dry.csv,2009,3,170238.7,381782.55,88.55,110.65,157266.66,381525.99,45.92,82.38,0.01,0.0,86358639.64,49150487.73
G3500090_mixed_dry.csv,2009,4,353088.64,651789.86,99.66,141.54,332681.54,656157.06,147.15,253.54,0.01,0.0,186102859.21,266672228.08
G3500090_mixed_dry.csv,2009,5,13934.68,4142.81,8.19,3.1,597.76,355.71,3.5,1.52,0.01,0.0,107401546.08,67456324.61
G3500090_mixed_dry.csv,2009,6,4244.42,,4.11,,601.68,,2.5,,0.01,,57997749.72,
G3500090_mixed_dry.csv,2009,7,10856.63,,10.81,,1493.38,,6.58,,0.0,,216328329.76,
G4100070_marine.csv,1918,1,292046.38,480604.18,83.8,106.77,212904.23,481281.25,176.67,266.79,0.0,0.0,271981289.74,291648231.07
G4100070_marine.csv,1918,2,330561.22,570323.99,83.24,119.04,254132.6,542703.36,155.39,194.38,0.0,0.0,209401804.35,183956652.23
G4100070_marine.csv,1918,3,53657.05,27202.23,21.72,7.35,39.1,73.75,148.63,297.52,0.0,0.0,149741718.47,72465629.49
G4100070_marine.csv,1918,4,360899.74,617662.74,95.3,140.15,279611.01,605409.98,344.24,331.41,0.0,0.0,217688016.71,96193349.95
G4100070_marine.csv,1918,5,58278.41,,45.74,,219.95,,879.79,,0.0,,418456567.61,
